,price,rating,brand,ram,ssd_storage,color,processor
442,64810.0,4,Dell,8.0,512,Silver,Intel
443,44990.0,4,Acer,8.0,256,Silver,AMD
444,464490.0,5,Apple,36.0,2048,Black,Unknown
445,172490.0,4,Apple,16.0,1024,Blue,Unknown
446,65990.0,3,Hp,16.0,512,Silver,Intel
447,9999.0,2,Jiobook,4.0,512,Blue,MediaTek
448,75990.0,3,Hp,16.0,512,Silver,Intel
449,222990.0,5,Apple,24.0,1024,Silver,Unknown
450,56000.0,4,Hp,8.0,512,Silver,Intel
451,103990.0,4,Lenovo,16.0,1024,Grey,Intel
452,73990.0,4,Apple,8.0,256,Silver,Unknown
453,73990.0,4,Apple,8.0,256,Grey,Unknown
454,81490.0,5,Dell,16.0,512,Silver,Intel
455,82970.0,4,Lenovo,16.0,512,Silver,AMD
456,342490.0,4,Apple,24.0,1024,Silver,Unknown
457,69990.0,3,Hp,16.0,512,Silver,Snapdragon
458,64810.0,4,Dell,8.0,512,Silver,Intel
459,108990.0,4,Hp,6.0,512,Silver,Intel
460,51990.0,3,Acer,16.0,512,Gray,AMD
461,68990.0,3,Hp,16.0,512,Silver,Intel
462,75990.0,3,Hp,16.0,512,Silver,Intel
463,124886.05605786618,3,Lenovo,16.0,512,Grey,Intel
464,67000.0,4,Lenovo,15.20558882235529,512,Grey,Snapdragon
465,64390.0,3,Acer,15.20558882235529,512,Silver,Intel
466,40999.0,4,Acer,8.0,512,Gray,AMD
467,124886.05605786618,4,Lenovo,16.0,512,Grey,Intel
468,47990.0,3,Acer,8.0,512,Silver,AMD
469,69990.0,3,Hp,16.0,512,Silver,Snapdragon
470,342490.0,4,Apple,24.0,2048,Silver,Unknown
471,115990.0,3,Hp,16.0,1024,Silver,Intel
472,40990.0,5,Acer,15.20558882235529,256,Silver,AMD
473,73990.0,4,Apple,8.0,256,Grey,Unknown
474,194990.0,4,Apple,24.0,1024,Silver,Unknown
475,73990.0,4,Apple,8.0,256,Silver,Unknown
476,513990.0,2,Apple,36.0,2048,Silver,Unknown
477,200490.0,4,Apple,16.0,1024,Silver,Unknown
478,68490.0,3,Lenovo,16.0,512,Grey,AMD
479,69990.0,3,Hp,16.0,512,Silver,Snapdragon
480,342490.0,4,Apple,24.0,2048,Silver,Unknown
481,47990.0,3,Acer,8.0,512,Silver,AMD
482,194990.0,4,Apple,24.0,1024,Silver,Unknown
483,75990.0,3,Hp,16.0,512,Silver,Intel
484,73990.0,4,Apple,8.0,256,Silver,Unknown
485,73990.0,4,Apple,8.0,256,Grey,Unknown
486,342490.0,4,Apple,24.0,1024,Silver,Unknown
487,200490.0,4,Apple,16.0,1024,Silver,Unknown
488,342490.0,4,Apple,24.0,2048,Silver,Unknown
489,47990.0,3,Acer,8.0,512,Silver,AMD
490,194990.0,4,Apple,24.0,1024,Silver,Unknown
491,75990.0,3,Hp,16.0,512,Silver,Intel
